SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
66760,1,기생충,문화공연,영화,드라마,715,3208,3923,20220712
66761,2,랑종,문화공연,영화,"공포(호러),스릴러,드라마",600,3027,3627,20220712
66762,3,백두산,문화공연,영화,"드라마,어드벤처",452,2238,2690,20220712
66763,4,너의이름은,문화공연,영화,"드라마,멜로/로맨스,애니메이션",336,2066,2402,20220712
66764,5,모가디슈,문화공연,영화,"액션,드라마",333,1997,2330,20220712
66765,6,작은아씨들,문화공연,영화,"드라마,멜로/로맨스",369,1656,2025,20220712
66766,7,이터널스,문화공연,영화,액션,350,1522,1872,20220712
66767,8,블랙위도우,문화공연,영화,"액션,어드벤처,SF",259,1217,1476,20220712
66768,9,보이스,문화공연,영화,범죄,227,1117,1344,20220712
66769,10,휴가,문화공연,영화,드라마,306,905,1211,20220712
